[2025-09-13 18:11:25] Monitoring vmware-vmx.exe (CPU: 68.30, RAM: 3.41)
[2025-09-13 18:11:27] Monitoring vmware-vmx.exe (CPU: 70.27, RAM: 3.41)
[2025-09-13 18:11:29] Monitoring vmware-vmx.exe (CPU: 71.00, RAM: 3.41)
[2025-09-13 18:11:31] Monitoring vmware-vmx.exe (CPU: 69.78, RAM: 3.41)
[2025-09-13 18:11:33] Monitoring vmware-vmx.exe (CPU: 70.31, RAM: 3.41)
[2025-09-13 18:11:35] Monitoring vmware-vmx.exe (CPU: 70.68, RAM: 3.41)
[2025-09-13 18:11:37] Monitoring vmware-vmx.exe (CPU: 70.63, RAM: 3.41)
[2025-09-13 18:11:39] Monitoring vmware-vmx.exe (CPU: 71.04, RAM: 3.41)
[2025-09-13 18:11:41] Monitoring vmware-vmx.exe (CPU: 71.02, RAM: 3.41)
[2025-09-13 18:11:43] Monitoring vmware-vmx.exe (CPU: 71.00, RAM: 6.66)
[2025-09-13 18:11:45] Monitoring vmware-vmx.exe (CPU: 70.51, RAM: 6.20)
[2025-09-13 18:11:47] Monitoring vmware-vmx.exe (CPU: 69.52, RAM: 6.19)
[2025-09-13 18:11:49] Monitoring vmware-vmx.exe (CPU: 67.48, RAM: 6.18)
[2025-09-13 18:11:51] Monitoring vmware-vmx.exe (CPU: 64.28, RAM: 6.19)
[2025-09-13 18:11:53] Monitoring vmware-vmx.exe (CPU: 63.12, RAM: 6.19)
[2025-09-13 18:11:55] Monitoring vmware-vmx.exe (CPU: 62.90, RAM: 6.19)
[2025-09-13 18:11:57] Monitoring vmware-vmx.exe (CPU: 62.07, RAM: 6.28)
[2025-09-13 18:11:59] Monitoring vmware-vmx.exe (CPU: 59.87, RAM: 6.29)
[2025-09-13 18:12:01] Monitoring vmware-vmx.exe (CPU: 57.57, RAM: 6.30)
[2025-09-13 18:12:03] Monitoring vmware-vmx.exe (CPU: 55.47, RAM: 6.30)
[2025-09-13 18:12:05] Monitoring vmware-vmx.exe (CPU: 53.53, RAM: 6.30)
[2025-09-13 18:12:07] Monitoring vmware-vmx.exe (CPU: 51.74, RAM: 6.30)
